LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
IRL,FBORNEMP,TOT,PC_FBORNPOP,2012,58.8
IRL,FBORNEMP,TOT,PC_FBORNPOP,2013,60.5
IRL,FBORNEMP,TOT,PC_FBORNPOP,2014,61.2
IRL,FBORNEMP,TOT,PC_FBORNPOP,2015,62.6
IRL,FBORNEMP,TOT,PC_FBORNPOP,2016,65.1
IRL,FBORNEMP,TOT,PC_FBORNPOP,2017,69
ITA,FBORNEMP,TOT,PC_FBORNPOP,2007,65.9
ITA,FBORNEMP,TOT,PC_FBORNPOP,2008,65.1
ITA,FBORNEMP,TOT,PC_FBORNPOP,2009,62.8
ITA,FBORNEMP,TOT,PC_FBORNPOP,2010,61.9
ITA,FBORNEMP,TOT,PC_FBORNPOP,2011,61.5
ITA,FBORNEMP,TOT,PC_FBORNPOP,2012,60
ITA,FBORNEMP,TOT,PC_FBORNPOP,2013,58.1
ITA,FBORNEMP,TOT,PC_FBORNPOP,2014,58.4
ITA,FBORNEMP,TOT,PC_FBORNPOP,2015,58.6
ITA,FBORNEMP,TOT,PC_FBORNPOP,2016,59.2
ITA,FBORNEMP,TOT,PC_FBORNPOP,2017,60
LUX,FBORNEMP,TOT,PC_FBORNPOP,2007,71.1
LUX,FBORNEMP,TOT,PC_FBORNPOP,2008,69
LUX,FBORNEMP,TOT,PC_FBORNPOP,2009,69
LUX,FBORNEMP,TOT,PC_FBORNPOP,2010,70.4
LUX,FBORNEMP,TOT,PC_FBORNPOP,2011,69.8
LUX,FBORNEMP,TOT,PC_FBORNPOP,2012,71.3
LUX,FBORNEMP,TOT,PC_FBORNPOP,2013,71.5
LUX,FBORNEMP,TOT,PC_FBORNPOP,2014,72
LUX,FBORNEMP,TOT,PC_FBORNPOP,2015,69.5
LUX,FBORNEMP,TOT,PC_FBORNPOP,2016,69
LUX,FBORNEMP,TOT,PC_FBORNPOP,2017,70.8
MEX,FBORNEMP,TOT,PC_FBORNPOP,2007,54.4
MEX,FBORNEMP,TOT,PC_FBORNPOP,2008,51.8
MEX,FBORNEMP,TOT,PC_FBORNPOP,2009,48.2
MEX,FBORNEMP,TOT,PC_FBORNPOP,2010,49.4
MEX,FBORNEMP,TOT,PC_FBORNPOP,2011,53
MEX,FBORNEMP,TOT,PC_FBORNPOP,2012,53.6
MEX,FBORNEMP,TOT,PC_FBORNPOP,2013,54
MEX,FBORNEMP,TOT,PC_FBORNPOP,2014,53.4
MEX,FBORNEMP,TOT,PC_FBORNPOP,2015,51.8
MEX,FBORNEMP,TOT,PC_FBORNPOP,2016,55
MEX,FBORNEMP,TOT,PC_FBORNPOP,2017,52.2
NLD,FBORNEMP,TOT,PC_FBORNPOP,2007,62.4
NLD,FBORNEMP,TOT,PC_FBORNPOP,2008,65.7
NLD,FBORNEMP,TOT,PC_FBORNPOP,2009,64.5
NLD,FBORNEMP,TOT,PC_FBORNPOP,2010,64.3
NLD,FBORNEMP,TOT,PC_FBORNPOP,2011,64
NLD,FBORNEMP,TOT,PC_FBORNPOP,2012,63.1
NLD,FBORNEMP,TOT,PC_FBORNPOP,2013,61.2
NLD,FBORNEMP,TOT,PC_FBORNPOP,2014,61.4
NLD,FBORNEMP,TOT,PC_FBORNPOP,2015,61.1
NLD,FBORNEMP,TOT,PC_FBORNPOP,2016,62
NLD,FBORNEMP,TOT,PC_FBORNPOP,2017,63
NZL,FBORNEMP,TOT,PC_FBORNPOP,2007,70.4
NZL,FBORNEMP,TOT,PC_FBORNPOP,2008,70
NZL,FBORNEMP,TOT,PC_FBORNPOP,2009,68.8
NZL,FBORNEMP,TOT,PC_FBORNPOP,2010,68.3
NZL,FBORNEMP,TOT,PC_FBORNPOP,2011,70.3
NZL,FBORNEMP,TOT,PC_FBORNPOP,2012,70.5
NZL,FBORNEMP,TOT,PC_FBORNPOP,2013,71.5
NZL,FBORNEMP,TOT,PC_FBORNPOP,2014,71.9
NZL,FBORNEMP,TOT,PC_FBORNPOP,2015,73.5
NZL,FBORNEMP,TOT,PC_FBORNPOP,2016,75
NOR,FBORNEMP,TOT,PC_FBORNPOP,2007,69.9
NOR,FBORNEMP,TOT,PC_FBORNPOP,2008,74
NOR,FBORNEMP,TOT,PC_FBORNPOP,2009,68.7
NOR,FBORNEMP,TOT,PC_FBORNPOP,2010,69.4
NOR,FBORNEMP,TOT,PC_FBORNPOP,2011,68.7
NOR,FBORNEMP,TOT,PC_FBORNPOP,2012,70.9
NOR,FBORNEMP,TOT,PC_FBORNPOP,2013,70.3
NOR,FBORNEMP,TOT,PC_FBORNPOP,2014,69.8
NOR,FBORNEMP,TOT,PC_FBORNPOP,2015,68.6
NOR,FBORNEMP,TOT,PC_FBORNPOP,2016,69.2
NOR,FBORNEMP,TOT,PC_FBORNPOP,2017,69.3
POL,FBORNEMP,TOT,PC_FBORNPOP,2007,36.8
POL,FBORNEMP,TOT,PC_FBORNPOP,2008,43.5
POL,FBORNEMP,TOT,PC_FBORNPOP,2009,45.5
POL,FBORNEMP,TOT,PC_FBORNPOP,2010,50.4
POL,FBORNEMP,TOT,PC_FBORNPOP,2011,55.2
POL,FBORNEMP,TOT,PC_FBORNPOP,2012,61.9
POL,FBORNEMP,TOT,PC_FBORNPOP,2013,59.2
POL,FBORNEMP,TOT,PC_FBORNPOP,2014,63
POL,FBORNEMP,TOT,PC_FBORNPOP,2015,60.7
POL,FBORNEMP,TOT,PC_FBORNPOP,2016,62.6
POL,FBORNEMP,TOT,PC_FBORNPOP,2017,69.9
PRT,FBORNEMP,TOT,PC_FBORNPOP,2007,73.1
PRT,FBORNEMP,TOT,PC_FBORNPOP,2008,74
PRT,FBORNEMP,TOT,PC_FBORNPOP,2009,69.8
PRT,FBORNEMP,TOT,PC_FBORNPOP,2010,69.1
PRT,FBORNEMP,TOT,PC_FBORNPOP,2011,68.7
PRT,FBORNEMP,TOT,PC_FBORNPOP,2012,66.4
PRT,FBORNEMP,TOT,PC_FBORNPOP,2013,62.6
PRT,FBORNEMP,TOT,PC_FBORNPOP,2014,66.6
PRT,FBORNEMP,TOT,PC_FBORNPOP,2015,68
PRT,FBORNEMP,TOT,PC_FBORNPOP,2016,70.4
PRT,FBORNEMP,TOT,PC_FBORNPOP,2017,74.3
SVK,FBORNEMP,TOT,PC_FBORNPOP,2007,66
SVK,FBORNEMP,TOT,PC_FBORNPOP,2008,68.1
